task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	a1/c388dc	13046781	select_nuclei (3)	COMPLETED	0	2021-08-04 20:48:47.403	9.2s	4.2s	58.7%	160.6 MB	312.6 MB	31.2 MB	72.4 KB
7	57/c6fdee	13046782	select_nuclei (7)	COMPLETED	0	2021-08-04 20:48:47.451	9.3s	4.4s	50.0%	111.5 MB	264.8 MB	30.6 MB	108 KB
5	d1/be1a9c	13046783	select_nuclei (6)	COMPLETED	0	2021-08-04 20:48:47.527	9.3s	4.3s	64.1%	160.3 MB	312.3 MB	30.8 MB	93.7 KB
4	56/5ec085	13046784	select_nuclei (2)	COMPLETED	0	2021-08-04 20:48:47.574	9.2s	4.3s	52.9%	126.2 MB	279.1 MB	30.8 MB	234.3 KB
8	86/582bc8	13046786	select_nuclei (8)	COMPLETED	0	2021-08-04 20:48:47.665	14s	2.9s	75.1%	127.2 MB	280.3 MB	30.8 MB	106.3 KB
1	8b/57b2c4	13046787	select_nuclei (1)	COMPLETED	0	2021-08-04 20:48:47.709	13.9s	2.3s	64.1%	140.2 MB	293.3 MB	30.8 MB	165.3 KB
6	40/8a4486	13046788	select_nuclei (5)	COMPLETED	0	2021-08-04 20:48:47.743	13.9s	2.9s	75.4%	125.9 MB	279.1 MB	30.6 MB	97.8 KB
3	6b/26ca53	13046789	select_nuclei (4)	COMPLETED	0	2021-08-04 20:48:47.770	13.9s	2.5s	62.9%	126.3 MB	279.1 MB	31.9 MB	66.1 KB
9	18/4fc838	13046785	prep_vcf (1)	COMPLETED	0	2021-08-04 20:48:47.613	3m 4s	2m 53s	92.3%	7.4 MB	14.3 MB	3 GB	1.2 GB
15	dd/dda761	13046795	filter_bam (6)	COMPLETED	0	2021-08-04 20:48:56.971	12m 5s	8m 39s	244.0%	20 MB	738.8 MB	15 GB	3.5 GB
14	81/f0e1ac	13046794	filter_bam (5)	COMPLETED	0	2021-08-04 20:48:56.950	12m 15s	8m 46s	249.2%	23.7 MB	738.8 MB	15.1 GB	3.6 GB
11	24/613e0f	13046791	filter_bam (2)	COMPLETED	0	2021-08-04 20:48:56.844	16m	15m 8s	220.9%	14.1 MB	677.1 MB	18.9 GB	5.9 GB
13	71/fd4c52	13046790	filter_bam (4)	COMPLETED	0	2021-08-04 20:48:56.821	16m 40s	16m 33s	209.2%	21.4 MB	738.8 MB	19.2 GB	6.2 GB
12	ae/905d04	13046792	filter_bam (3)	COMPLETED	0	2021-08-04 20:48:56.886	16m 45s	14m 39s	220.7%	16.7 MB	741.1 MB	18.9 GB	6 GB
10	55/6a9457	13046793	filter_bam (1)	COMPLETED	0	2021-08-04 20:48:56.923	19m 10s	15m 43s	213.0%	12.3 MB	741.1 MB	19.4 GB	6.4 GB
17	46/84544b	13046796	filter_bam (8)	COMPLETED	0	2021-08-04 20:48:56.994	21m 25s	9m 15s	219.1%	21.5 MB	738.8 MB	15.3 GB	3.8 GB
18	5a/5f43d6	13046797	filter_bam (9)	COMPLETED	0	2021-08-04 20:48:57.026	23m 5s	8m 52s	238.4%	22.9 MB	677.1 MB	15.1 GB	3.6 GB
16	e5/574563	13046798	filter_bam (7)	COMPLETED	0	2021-08-04 20:48:57.054	25m 45s	9m 45s	227.4%	24.3 MB	677.1 MB	15.3 GB	3.8 GB
20	58/ec4bc3	13046800	filter_bam (11)	COMPLETED	0	2021-08-04 20:48:57.150	26m 10s	9m 24s	223.9%	26.7 MB	738.8 MB	15.6 GB	3.6 GB
19	d2/0060c1	13046799	filter_bam (10)	COMPLETED	0	2021-08-04 20:48:57.115	26m 20s	9m 39s	238.3%	22.2 MB	677.1 MB	15.4 GB	3.9 GB
21	52/b346af	13046801	filter_bam (12)	COMPLETED	0	2021-08-04 20:48:57.173	29m 55s	10m 41s	213.6%	10.5 MB	739.4 MB	16 GB	4 GB
22	37/14e6a9	13046802	filter_bam (13)	COMPLETED	0	2021-08-04 20:48:57.195	30m 45s	9m 19s	214.4%	25.5 MB	739.2 MB	15.8 GB	3.8 GB
26	79/c9af1a	13046806	filter_bam (17)	COMPLETED	0	2021-08-04 20:48:57.287	30m 59s	4m 43s	285.2%	13.9 MB	738.8 MB	13.1 GB	1.6 GB
23	9f/36b9f2	13046803	filter_bam (14)	COMPLETED	0	2021-08-04 20:48:57.222	32m 50s	9m 42s	236.8%	20.9 MB	741.1 MB	15.8 GB	3.8 GB
28	9b/1b738d	13046807	filter_bam (19)	COMPLETED	0	2021-08-04 20:48:57.304	34m 34s	4m 39s	265.4%	15.2 MB	803.2 MB	13.2 GB	1.7 GB
27	f2/9fb7d7	13046808	filter_bam (18)	COMPLETED	0	2021-08-04 20:48:57.326	35m 9s	4m 28s	266.5%	15.3 MB	738.9 MB	13.1 GB	1.6 GB
24	ea/d5f07c	13046804	filter_bam (15)	COMPLETED	0	2021-08-04 20:48:57.242	35m 24s	9m 42s	233.3%	26.2 MB	677.1 MB	15.8 GB	3.8 GB
33	61/836f03	13046809	filter_bam (24)	COMPLETED	0	2021-08-04 20:48:57.352	35m 54s	4m 50s	282.4%	20.1 MB	739.2 MB	13.3 GB	1.8 GB
25	d2/1cbd95	13046805	filter_bam (16)	COMPLETED	0	2021-08-04 20:48:57.261	36m 49s	10m 38s	222.7%	10.6 MB	677.1 MB	16.1 GB	4.1 GB
