task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
21	67/bf9249	13045952	fastqc (13)	CACHED	0	2021-08-04 15:33:33.750	2h 41m 23s	1h 5m 11s	97.2%	301 MB	2.6 GB	14.3 GB	2.2 MB
12	73/7ce179	13045945	fastqc (4)	CACHED	0	2021-08-04 15:33:33.586	1h 48m 38s	1h 17m 34s	97.1%	328.1 MB	2.6 GB	14.7 GB	2.2 MB
20	c6/e13bdd	13045950	fastqc (12)	CACHED	0	2021-08-04 15:33:33.706	2h 54m 28s	1h 19m 47s	96.3%	293.2 MB	2.6 GB	16 GB	2.2 MB
10	3c/91929a	13045934	fastqc (2)	CACHED	0	2021-08-04 15:33:33.361	1h 23m 33s	1h 23m 24s	96.5%	294.2 MB	2.6 GB	15.8 GB	2.2 MB
2	5f/6117e3	13045953	starsolo (2)	CACHED	0	2021-08-04 15:33:33.769	2h 52m 3s	1h 5m 53s	701.2%	31.5 GB	32.8 GB	274.6 GB	132.3 GB
9	33/3e4b03	13045933	fastqc (1)	CACHED	0	2021-08-04 15:33:33.337	1h 28m 23s	1h 28m 14s	96.4%	298.1 MB	2.6 GB	14.9 GB	2.2 MB
14	f7/1cd762	13045940	fastqc (6)	CACHED	0	2021-08-04 15:33:33.497	1h 22m 8s	1h 18m 59s	96.6%	335.1 MB	2.6 GB	16.9 GB	2.2 MB
15	20/3dc333	13045938	fastqc (7)	CACHED	0	2021-08-04 15:33:33.462	1h 36m 23s	1h 34m 9s	96.6%	295 MB	2.6 GB	19.5 GB	2.2 MB
4	7a/1de022	13045935	starsolo (6)	CACHED	0	2021-08-04 15:33:33.382	1h 21m 3s	1h 18m 54s	703.6%	31.5 GB	32.8 GB	298.8 GB	145.3 GB
8	c5/3588f7	13045931	starsolo (8)	CACHED	0	2021-08-04 15:33:33.289	1h 20m 58s	1h 20m 49s	707.4%	31.5 GB	32.8 GB	304.1 GB	148 GB
23	fe/d57674	13045944	fastqc (15)	CACHED	0	2021-08-04 15:33:33.567	1h 51m 13s	1h 23m 50s	96.8%	296.9 MB	2.6 GB	15.5 GB	2.2 MB
5	1d/b6c4bf	13045941	starsolo (3)	CACHED	0	2021-08-04 15:33:33.514	1h 34m 33s	1h 22m 47s	703.0%	31.5 GB	32.8 GB	313.2 GB	152.1 GB
17	92/9468d7	13045937	fastqc (9)	CACHED	0	2021-08-04 15:33:33.439	1h 18m 46s	1h 16m 33s	97.0%	314 MB	2.6 GB	14.2 GB	2.2 MB
1	57/42ec51	13045949	starsolo (4)	CACHED	0	2021-08-04 15:33:33.672	3h 3m 8s	1h 28m 31s	732.1%	33.2 GB	34.4 GB	374.6 GB	183.9 GB
3	2a/78686d	13045951	starsolo (5)	CACHED	0	2021-08-04 15:33:33.727	2h 46m 13s	1h 10m 6s	707.0%	31.5 GB	32.8 GB	279.4 GB	135.3 GB
24	af/5931b0	13045936	fastqc (16)	CACHED	0	2021-08-04 15:33:33.409	1h 13m 35s	1h 11m 27s	96.2%	302.7 MB	2.6 GB	16.4 GB	2.2 MB
22	81/3a2413	13045943	fastqc (14)	CACHED	0	2021-08-04 15:33:33.549	1h 39m 33s	1h 12m 6s	97.8%	306.4 MB	2.6 GB	15.2 GB	2.2 MB
11	53/5340cb	13045954	fastqc (3)	CACHED	0	2021-08-04 15:33:33.787	3h 2m 53s	1h 16m 41s	96.7%	296.9 MB	2.6 GB	13.9 GB	2.2 MB
13	7b/4a01ef	13045946	fastqc (5)	CACHED	0	2021-08-04 15:33:33.608	2h 2m 43s	1h 31m 34s	97.4%	297.2 MB	2.5 GB	16.1 GB	2.2 MB
6	1b/405dbc	13045942	starsolo (1)	CACHED	0	2021-08-04 15:33:33.529	1h 36m 8s	1h 14m 11s	690.0%	31.5 GB	32.8 GB	294.1 GB	142.8 GB
18	f0/75a403	13045939	fastqc (10)	CACHED	0	2021-08-04 15:33:33.477	1h 14m 26s	1h 11m 21s	96.1%	309.5 MB	2.6 GB	14.9 GB	2.2 MB
16	e9/457aee	13045947	fastqc (8)	CACHED	0	2021-08-04 15:33:33.627	1h 57m 43s	1h 26m 37s	97.4%	294.6 MB	2.6 GB	20.6 GB	2.2 MB
7	0d/5e1ee1	13045948	starsolo (7)	CACHED	0	2021-08-04 15:33:33.643	1h 47m 13s	1h 16m 4s	729.3%	31.5 GB	32.8 GB	283.7 GB	137.5 GB
19	6f/4dab46	13045932	fastqc (11)	CACHED	0	2021-08-04 15:33:33.320	1h 15m 16s	1h 15m 5s	96.6%	329 MB	2.6 GB	15.2 GB	2.2 MB
28	29/9a11c2	13046142	qc (4)	CACHED	0	2021-08-04 17:09:42.014	47m 25s	32m 18s	99.7%	959.1 MB	1.1 GB	19.6 GB	23.2 MB
26	8f/779f1a	13046157	qc (5)	CACHED	0	2021-08-04 17:20:47.255	47m 30s	29m 56s	99.7%	910.4 MB	1 GB	18.8 GB	23 MB
31	b2/729b5c	13046265	qc (6)	CACHED	0	2021-08-04 18:19:47.298	20m 20s	20m 14s	98.7%	927.2 MB	1 GB	18.5 GB	23 MB
29	93/fdc4a0	13046306	qc (8)	CACHED	0	2021-08-04 18:36:42.147	27m 5s	27m 1s	99.7%	974.8 MB	1.1 GB	24.3 GB	24.3 MB
33	70/7400ec	13046140	qc (3)	CACHED	0	2021-08-04 17:08:07.529	45m 19s	31m 54s	99.7%	937.6 MB	1.1 GB	20.6 GB	23.5 MB
37	f5/398285	13046117	qc (1)	CACHED	0	2021-08-04 16:54:34.301	58m 13s	31m 57s	99.6%	923.1 MB	1 GB	20 GB	23.2 MB
35	50/b3c714	13046119	qc (2)	CACHED	0	2021-08-04 16:54:37.528	56m 59s	30m 49s	99.6%	933 MB	1 GB	19.6 GB	23.2 MB
40	b0/8adbe7	13046280	qc (7)	CACHED	0	2021-08-04 18:25:37.400	19m 40s	19m 28s	99.7%	945.6 MB	1.1 GB	18.3 GB	23.2 MB
25	59/fff0a0	13046558	prune (1)	COMPLETED	0	2021-08-04 19:22:16.935	25m 51s	25m 24s	98.7%	53.4 MB	61.5 MB	29.9 GB	11.5 GB
