task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	db/a589a0	13005074	select_nuclei (2)	CACHED	0	2021-07-08 05:15:29.918	5m 49s	2.1s	73.1%	162.6 MB	312.1 MB	30.3 MB	78.3 KB
1	4e/265f3f	13005073	select_nuclei (1)	CACHED	0	2021-07-08 05:15:29.883	5m 49s	2.5s	77.4%	142.8 MB	297.3 MB	29.6 MB	55.9 KB
3	18/4fc838	13006913	prep_vcf (1)	COMPLETED	0	2021-07-14 01:25:06.595	3m 54s	3m 53s	94.0%	7.3 MB	14.3 MB	3 GB	1.2 GB
10	70/8a151c	13006918	filter_bam (7)	COMPLETED	0	2021-07-14 01:25:06.763	19m 54s	16m 55s	233.1%	10.4 MB	738.9 MB	24.4 GB	6.3 GB
8	0c/e27809	13006917	filter_bam (5)	COMPLETED	0	2021-07-14 01:25:06.743	21m 19s	18m 19s	227.8%	23.5 MB	741.1 MB	25 GB	6.9 GB
5	99/5b5c9e	13006915	filter_bam (2)	COMPLETED	0	2021-07-14 01:25:06.703	25m 54s	25m	209.7%	19.8 MB	739.4 MB	26 GB	9.8 GB
6	5e/34bacc	13006916	filter_bam (3)	COMPLETED	0	2021-07-14 01:25:06.722	27m 24s	26m 28s	212.4%	22.8 MB	677.1 MB	26.4 GB	10.2 GB
4	11/c4c464	13006914	filter_bam (1)	COMPLETED	0	2021-07-14 01:25:06.673	28m 19s	28m 13s	205.2%	27.8 MB	803 MB	27.1 GB	10.9 GB
11	e2/a54c2a	13006919	filter_bam (8)	COMPLETED	0	2021-07-14 01:25:06.786	35m 24s	18m 42s	205.3%	20.4 MB	738.8 MB	25.3 GB	7.2 GB
9	f7/35bb46	13006920	filter_bam (6)	COMPLETED	0	2021-07-14 01:25:06.807	39m 49s	19m 56s	218.0%	30.9 MB	677.1 MB	25.7 GB	7.6 GB
7	66/2b31a4	13006921	filter_bam (4)	COMPLETED	0	2021-07-14 01:25:06.829	40m 24s	19m 7s	219.2%	25.1 MB	803.7 MB	25.4 GB	7.3 GB
12	2f/3facc6	13006923	demuxlet (1)	COMPLETED	0	2021-07-14 01:45:01.119	4h 12m	4h 9m 13s	100.0%	2.8 GB	2.9 GB	4.4 GB	2.1 MB
13	0a/3ac866	13006924	demuxlet (2)	COMPLETED	0	2021-07-14 01:46:26.132	5h 9m 21s	5h 4m 45s	100.0%	2.9 GB	3.1 GB	4.7 GB	2.1 MB
17	e5/00e414	13006928	demuxlet (6)	COMPLETED	0	2021-07-14 02:00:31.156	5h 2m 16s	5h 1m 47s	100.0%	3 GB	3.1 GB	4.8 GB	2.1 MB
19	cc/e82399	13006931	demuxlet (8)	COMPLETED	0	2021-07-14 02:05:31.161	5h 21m 16s	5h 21m 2s	99.9%	3 GB	3.2 GB	4.9 GB	2.1 MB
18	29/885de9	13006930	demuxlet (7)	COMPLETED	0	2021-07-14 02:04:56.159	5h 31m 51s	5h 31m 13s	100.0%	3.1 GB	3.2 GB	5 GB	2.1 MB
14	32/051d47	13006925	demuxlet (3)	COMPLETED	0	2021-07-14 01:51:01.134	7h 12m 6s	7h 11m 20s	100.1%	3.7 GB	3.8 GB	6.1 GB	2.5 MB
15	32/79dba6	13006926	demuxlet (4)	COMPLETED	0	2021-07-14 01:52:31.156	7h 40m 6s	7h 39m 49s	100.1%	3.8 GB	3.9 GB	6.3 GB	2.5 MB
16	17/95c842	13006927	demuxlet (5)	COMPLETED	0	2021-07-14 01:53:26.145	8h 35m 26s	8h 31m 45s	100.0%	4 GB	4.1 GB	6.7 GB	2.5 MB
20	81/8d8d93	13006932	plot_qc	FAILED	2	2021-07-14 10:28:52.056	5s	2ms	-	-	-	-	-
