task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	b4/595b71	12989023	fastqc (2)	CACHED	0	2021-06-20 12:21:12.158	2h 18m 55s	2h 18m 49s	98.6%	307.9 MB	2.6 GB	22.5 GB	2.2 MB
6	6c/566fcc	12989019	fastqc (4)	CACHED	0	2021-06-20 12:21:12.005	2h 15s	2h 12s	98.7%	294.8 MB	2.5 GB	25.8 GB	2.2 MB
2	62/4a439f	12989022	starsolo (2)	CACHED	0	2021-06-20 12:21:12.138	1h 41m 45s	1h 41m 40s	717.7%	44.3 GB	45.6 GB	459.6 GB	226.8 GB
5	d7/d89251	12989024	fastqc (3)	CACHED	0	2021-06-20 12:21:12.183	2h 35m 5s	2h 34m 59s	98.6%	297.5 MB	2.5 GB	23.4 GB	2.2 MB
3	14/333208	12989021	fastqc (1)	CACHED	0	2021-06-20 12:21:12.107	1h 44m 45s	1h 44m 40s	98.7%	285.8 MB	2.5 GB	20.8 GB	2.2 MB
1	e7/a8bd56	12989020	starsolo (1)	CACHED	0	2021-06-20 12:21:12.072	1h 35m 30s	1h 35m 23s	733.5%	37.2 GB	38.4 GB	403.7 GB	198.9 GB
8	e9/788a3a	12989029	prune (1)	CACHED	0	2021-06-20 13:56:42.252	1h 16m 45s	1h 16m 40s	99.1%	74.2 MB	85.1 MB	42.2 GB	16.2 GB
9	3a/a75b7b	12989031	prune (2)	CACHED	0	2021-06-20 14:02:57.103	1h 15m 55s	1h 15m 37s	99.5%	82.3 MB	93.5 MB	46.6 GB	18.1 GB
7	d7/8d99be	12989041	qc (1)	FAILED	1	2021-06-21 02:47:27.035	8.9s	5s	-	-	-	-	-
10	38/14db94	12989042	qc (2)	FAILED	1	2021-06-21 02:47:27.111	9.7s	5.6s	-	-	-	-	-
