task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	4c/b6b80b	13158065	extend_and_annotate_summits (5)	CACHED	0	2021-09-14 15:20:36.355	14.2s	3.7s	59.9%	58.3 MB	79.8 MB	22 MB	24.9 MB
1	ef/c565b7	13158067	extend_and_annotate_summits (1)	CACHED	0	2021-09-14 15:20:36.417	24.2s	3.2s	63.7%	4.7 MB	28.3 MB	20.5 MB	23.1 MB
6	4c/c2d59d	13158068	extend_and_annotate_summits (6)	CACHED	0	2021-09-14 15:20:36.440	29.1s	3.4s	64.1%	7.2 MB	28.3 MB	22 MB	25.2 MB
4	fe/a33557	13158069	extend_and_annotate_summits (4)	CACHED	0	2021-09-14 15:20:36.460	34.1s	3.5s	63.3%	4.6 MB	28.3 MB	22 MB	24.7 MB
2	be/6c1f32	13158070	extend_and_annotate_summits (3)	CACHED	0	2021-09-14 15:20:36.480	39.1s	3.2s	63.7%	4.7 MB	28.3 MB	20.5 MB	23.5 MB
3	e9/8b79b5	13158066	extend_and_annotate_summits (2)	CACHED	0	2021-09-14 15:20:36.389	19.2s	3.2s	62.7%	4.7 MB	28.3 MB	20.5 MB	23.2 MB
9	c1/b11065	13158074	module_linked_summits (2)	CACHED	0	2021-09-14 15:20:55.616	1m 10s	34.8s	73.0%	793.5 MB	1.1 GB	51.8 MB	2.3 MB
7	e5/689d72	13158075	module_linked_summits (3)	CACHED	0	2021-09-14 15:21:00.614	1m 5s	34.4s	73.4%	955.2 MB	1.3 GB	51.6 MB	2.3 MB
8	45/848727	13158080	module_linked_summits (6)	CACHED	0	2021-09-14 15:21:15.624	1m 10s	34.2s	73.1%	811.5 MB	1.1 GB	52 MB	2.3 MB
10	b2/3d9176	13158077	module_linked_summits (4)	CACHED	0	2021-09-14 15:21:05.621	1m 5s	32.6s	74.7%	612.7 MB	969.1 MB	53 MB	2.4 MB
12	3f/72411f	13158078	module_linked_summits (5)	CACHED	0	2021-09-14 15:21:10.622	1m 10s	36s	73.6%	746.7 MB	1.1 GB	52.5 MB	2.4 MB
11	d9/e59a5a	13158072	module_linked_summits (1)	CACHED	0	2021-09-14 15:20:50.648	59.9s	35.2s	72.3%	786.1 MB	1.1 GB	52.7 MB	2.4 MB
13	f0/444c62	13159152	ame_run_shuffle (973)	CACHED	0	2021-09-14 15:29:50.708	39.9s	25.4s	68.7%	15.8 MB	340.9 MB	1.5 MB	2.1 MB
31	ba/a97942	13159170	ame_run_shuffle (991)	CACHED	0	2021-09-14 15:29:55.681	34.9s	13.9s	67.6%	14.5 MB	340.9 MB	1.4 MB	1 MB
